sku,title,link,price,image
72510FLS,8x4 Modern Charme Spray 150ml,http://www.jumbo.com/8x4-modern-charme-spray-150ml/72510FLS/,2.96,https://static-images.jumbo.com/product_images/72510FLS-1_360x360.png
160643BUS,8x4 Ocean Fresh Spray 150ml,http://www.jumbo.com/8x4-ocean-fresh-spray-150ml/160643BUS/,2.84,https://static-images.jumbo.com/product_images/160643BUS-1_360x360.png
72521FLS,8x4 Unity Spray 150ml,http://www.jumbo.com/8x4-unity-spray-150ml/72521FLS/,3.29,https://static-images.jumbo.com/product_images/72521FLS-1_360x360.png
169263FLS,A L'Olivier Balsamico Azijn uit Modena 25cl,http://www.jumbo.com/a-l'olivier-balsamico-azijn-uit-modena-25cl/169263FLS/,3.33,https://static-images.jumbo.com/product_images/169263FLS-1_360x360.png
171210FLS,A L'Olivier Balsamico Azijn van Modena IGP 250ml,http://www.jumbo.com/a-l'olivier-balsamico-azijn-van-modena-igp-250ml/171210FLS/,4.39,https://static-images.jumbo.com/product_images/171210FLS-1_360x360.png
169265FLS,A L'Olivier Dragon Azijn 25cl,http://www.jumbo.com/a-l'olivier-dragon-azijn-25cl/169265FLS/,2.59,https://static-images.jumbo.com/product_images/169265FLS-1_360x360.png
169264FLS,A L'Olivier Frambozen Azijn 250ml,http://www.jumbo.com/a-l'olivier-frambozen-azijn-250ml/169264FLS/,2.29,https://static-images.jumbo.com/product_images/169264FLS-1_360x360.png
43527FLS,A L'Olivier Jerez Sherry Azijn 7° 250ml,http://www.jumbo.com/a-l'olivier-jerez-sherry-azijn-7-250ml/43527FLS/,4.37,https://static-images.jumbo.com/product_images/43527FLS-1_360x360.png
206026FLS,A L'Olivier Provençaalse Kruidenazijn 6° 250ml,http://www.jumbo.com/a-l'olivier-provencaalse-kruidenazijn-6-250ml/206026FLS/,2.85,https://static-images.jumbo.com/product_images/181220180727_206026FLS-1_360x360.png
169267FLS,A L'Olivier Rode Wijnazijn 25cl,http://www.jumbo.com/a-l'olivier-rode-wijnazijn-25cl/169267FLS/,1.99,https://static-images.jumbo.com/product_images/169267FLS-1_360x360.png
206025FLS,A L'Olivier Truffelazijn 6° 250ml,http://www.jumbo.com/a-l'olivier-truffelazijn-6-250ml/206025FLS/,2.85,https://static-images.jumbo.com/product_images/181220180727_206025FLS-1_360x360.png
169266FLS,A L'Olivier Witte Wijnazijn 250ml,http://www.jumbo.com/a-l'olivier-witte-wijnazijn-250ml/169266FLS/,2.19,https://static-images.jumbo.com/product_images/169266FLS-1_360x360.png
509549FLS,A Trade Mark Ketjap Manis Kentel No. 1 500ml,http://www.jumbo.com/a-trade-mark-ketjap-manis-kentel-no-1-500ml/509549FLS/,1.82,https://static-images.jumbo.com/product_images/509549FLS-1_360x360.png
150635FLS,A Trade Mark Ketjap Manis Kentel No.1 1L,http://www.jumbo.com/a-trade-mark-ketjap-manis-kentel-no1-1l/150635FLS/,3.49,https://static-images.jumbo.com/product_images/150635FLS-1_360x360.png
171536BLK,A&W Cream Soda 355ml,http://www.jumbo.com/aampw-cream-soda-355ml/171536BLK/,1.05,https://static-images.jumbo.com/product_images/171536BLK-1_360x360.png
103103CAN,A&W Root Beer 355ml,http://www.jumbo.com/aw-root-beer-355ml/103103CAN/,1.03,https://static-images.jumbo.com/product_images/103103CAN-1_360x360.png
74245STK,A. Vogel Altrosan Spier- en Gewrichtsgel 100ml,http://www.jumbo.com/a-vogel-altrosan-spier--en-gewrichtsgel-100ml/74245STK/,9.89,https://static-images.jumbo.com/product_images/74245STK-1_360x360.png
177746STK,A. Vogel Cinuforce Neusspray 20ml,http://www.jumbo.com/a-vogel-cinuforce-neusspray-20ml/177746STK/,7.69,https://static-images.jumbo.com/product_images/177746STK-1_360x360.png
